ministerio,area,proyecto,enlace,tipo_ayuda,evento,bajada
Ministerio de Ambiente y Espacio Público,Subsecretaría de Higiene Urbana,Mapa Potenciales Productores de residuos reciclables,https://drive.google.com/file/d/0B-0OMNhno-_Tb1RhR1ROSmlTSEE/view,Producto,,Herramienta para identificar los grandes generadores de residuos sólidos y secos a partir de diversos conjuntos de datos públicos en la plataforma de datos abiertos de GCBA. (data.buenosaires.gob.ar).
Mesa de Innovación ,Mesa de Innovación ,Metropolis,,Innovación Pública,,Diseñamos y facilitamos un workshop sobre innovación abierta y urbana en el marco del Congreso Metropolis.
Jefatura de Gabinete,Subsecretaría de Asuntos Públicos,Micrositio Transparencia,http://www.buenosaires.gob.ar/transparencia,Producto,,Se trabajó junto con el área para rediseñar la forma en la que se muestra y accede a la información vinculada a transparencia.
Ministerio de Cultura,Centro Cultural San Martín,Noche de la Cultura Digital,http://www.buenosaires.gob.ar/noticias/el-sabado-llega-la-noche-de-la-cultura-digital,Producto,,Producción del primer evento destinado a la Cultura Digital en la CABA.
Ministerio de Cultura,Centro Cultural San Martín,Noviembre Electrónico,,Producto,,"Participamos abriendo a toda la comunidad los datos públicos de Buenos Aires, a través de visualizaciones que toman a la Ciudad como plataforma de innovación y experimentación."
AGIP,DG Estadísticas y Censos,Open Data Day 2014,https://www.flickr.com/photos/gcbadata/albums/72157641182922753,Innovación Cívica,,Celebramos el Día Internacional de los Datos Abiertos junto a artistas urbanos que crearon un mural para visualizar datos públicos de interés para los vecinos.
Sociedad Civil,Artistas y gratiferos; OKFN; La Nación Data; Properati; La Nación Data,Open Data Day 2014,https://www.flickr.com/photos/gcbadata/albums/72157641182922753,Innovación Cívica,,Celebramos el Día Internacional de los Datos Abiertos junto a artistas urbanos que crearon un mural para visualizar datos públicos de interés para los vecinos.
Ministerio de Modernización,DG Capital Humano,Open Space - Plan de Innovación Interna,,Innovación Pública,,"Reunimos a todos los Gerentes Operativos y Sub Gerentes Operativos del Ministerio de Modernización en dos jornadas para promover la integración, el trabajo colaborativo y el sentido de pertenencia."
Ministerio de Modernización,DG Capital Humano,Formación Programa Jóvenes Profesionales,,Innovación Pública,,"Trabajamos en la formación de equipos innovadores y en el fortalecimiento de los proyectos del Programa de Jóvenes Profesionales, incorporando metodologías ágiles y mentorías personalizadas."
Ministerio de Educación,DG Tecnología Educativa,Open Space Programa tu Futuro,https://www.flickr.com/photos/gcbadata/albums/72157647388933535,Producto,,"Creamos un espacio de debate, intercambio de ideas y charlas, donde invitamos a participar a toda la comunidad de desarrolladores, programadores, junto a miembros de las bibliotecas de la Ciudad y docentes."
