ministerio,area,proyecto,enlace,tipo_ayuda,evento,bajada
Jefatura de Gobierno,Consejo Planeamiento Estratégico,Curso Gobierno Abierto,,Innovación Pública,,Curso sobre Gobierno Abierto brindado a los empleados del GCBA que participan del programa de Planemiento Estrátegico.
Ministerio de Modernización,Instituto Superior de la Carrera,Curso Innovación Pública,,Innovación Pública,,Curso de metodologías innovadores diseñado por el Laboratorio de Gobierno para los empleados del GCBA en conjunto con el ISC.
Ministerio de Ambiente y Espacio Público,Subsecretaría de Higiene Urbana,Dashboard Higiene Urbana (HUSCO),https://drive.google.com/file/d/0B3eO9Du6blIka0VXSUpZVV90VmM/view?usp=sharing,Producto,,"Herramienta de gestión interna, que permite ver los reclamos por Higiene Urbana y la resolución de los mismos por parte de las empresas contratistas."
Jefatura de Gabinete,Subsecretaría de Transporte,Dashboard Semáforos,https://drive.google.com/file/d/0B3eO9Du6blIkVXZIMm13bVBvRGc/view?usp=sharing,Producto,,"Herramienta de gestión interna, que permite ver el flujo vehicular en las principales avenidas de la CABA y registrar las anomalías que producen demoras por sobre el promedio."
Sociedad Civil,Diario La Nación,Data Fest,,Asesoría y Colaboración,,Fuimos invitados a participar de una conferencia sobre la apertura de datos y la realización de productos mediante datos públicos. A su vez se presentó el dataset sobre los exámenes internacionales PISA.
Sociedad Civil,Rubicon,Demanda espontánea en Adicciones (No te pierdas),https://www.facebook.com/1614270818803596/photos/a.1628294450734566.1073741827.1614270818803596/1647246502172694/?type=3&theater,Aceleración de Proyecto,BA Ciudad Abierta,"Proyecto ganador de Vos Lo Hacés, cuyo objetivo es implementar una demanda espontánea en adicciones que reduzca la tasa de deserción de pacientes desde su primer contacto con el hospital hasta el primer turno de atención."
Sociedad Civil,Wingu,Desarrollando América Latina 2013,,Asesoría y Colaboración,,"Trabajamos mentoreando a los equipos durante todas las instancias del proceso del DAL, la competencia colaborativa para generar aplicaciones de impacto social que se realiza en 11 países de la región."
Sociedad Civil,Wingu,Desarrollando América Latina 2014,http://2015.desarrollandoamerica.org/organizadores-2014/,Asesoría y Colaboración,,"Trabajamos mentoreando a los equipos durante todas las instancias del proceso del DAL, la competencia colaborativa para generar aplicaciones de impacto social que se realiza en 11 países de la región. "
Sociedad Civil,Wingu,Desarrollando América Latina 2015,http://2015.desarrollandoamerica.org/,Asesoría y Colaboración,,"Trabajamos mentoreando a los equipos durante todas las instancias del proceso del DAL, la competencia colaborativa para generar aplicaciones de impacto social que se realiza en 11 países de la región. "
Sociedad Civil,Fundación Huésped,Dónde - Huésped,http://www.huesped.org.ar/donde/,Producto,,Desarrollamos en conjunto “Donde” la aplicación para mapear todos los centros de distribución de preservativos y testeo de VIH gratuitos. Hoy es uno de los sitios de salud más visitados en todo el país. 
Ministerio de Cultura,Teatro Colón,Editatón Teatro Colón,http://teatrocolon.org.ar/es/content/el-editat%C3%B3n-de-wikipedia-en-el-col%C3%B3n,Innovación Cívica,,"Como parte de una estrategia de modernización y apertura de los espacios culturales de la Ciudad, organizamos un editatón para abrir los datos históricos y liberar información de uno de los teatros más importantes del mundo."
Sociedad Civil,Wikimedia Argentina,Editatón Teatro Colón,http://teatrocolon.org.ar/es/content/el-editat%C3%B3n-de-wikipedia-en-el-col%C3%B3n,Innovación Cívica,,"Como parte de una estrategia de modernización y apertura de los espacios culturales de la Ciudad, organizamos un editatón para abrir los datos históricos y liberar información de uno de los teatros más importantes del mundo."
